Time(s), V(V),Encoder,ADC
3.05,-1.8747,-2645,177
3.055,-2.0606,-2658,177
3.06,-2.2461,-2670,177
3.065,-2.4309,-2683,224
3.07,-2.6152,-2695,224
3.075,-2.7989,-2707,224
3.08,-2.9818,-2719,224
3.085,-3.164,-2730,256
3.09,-3.3454,-2741,256
3.095,-3.526,-2752,256
3.1,-3.7058,-2762,280
3.105,-3.8846,-2772,280
3.11,-4.0624,-2781,280
3.115,-4.2393,-2791,280
3.12,-4.4151,-2799,300
3.125,-4.5898,-2807,300
3.13,-4.7634,-2815,300
3.135,-4.9358,-2822,280
3.14,-5.107,-2829,280
3.145,-5.277,-2835,280
3.15,-5.4456,-2840,280
3.155,-5.6129,-2845,287
3.16,-5.7788,-2850,287
3.165,-5.9433,-2854,287
3.17,-6.1063,-2858,263
3.175,-6.2678,-2860,263
3.18,-6.4277,-2863,263
3.185,-6.5861,-2865,263
3.19,-6.7429,-2866,271
3.195,-6.8979,-2867,271
3.2,-7.0513,-2867,271
3.205,-7.203,-2866,271
3.21,-7.3528,-2865,256
3.215,-7.5009,-2863,256
3.22,-7.6471,-2861,256
3.225,-7.7914,-2859,199
3.23,-7.9338,-2856,199
3.235,-8.0742,-2852,199
3.24,-8.2127,-2848,199
3.245,-8.3491,-2843,193
3.25,-8.4834,-2839,193
3.255,-8.6157,-2833,193
3.26,-8.7458,-2827,159
3.265,-8.8738,-2821,159
3.27,-8.9996,-2815,159
3.275,-9.1232,-2808,159
3.28,-9.2445,-2800,184
3.285,-9.3635,-2793,184
3.29,-9.4803,-2785,184
3.295,-9.5947,-2776,113
3.3,-9.7067,-2768,113
3.305,-9.8163,-2759,113
3.31,-9.9235,-2749,113
3.315,-10.028,-2740,88
3.32,-10.131,-2730,88
3.325,-10.23,-2720,88
3.33,-10.328,-2710,99
3.335,-10.422,-2699,99
3.34,-10.514,-2688,99
3.345,-10.604,-2677,99
3.35,-10.691,-2666,63
3.355,-10.775,-2654,63
3.36,-10.857,-2643,63
3.365,-10.936,-2631,63
3.37,-11.012,-2619,63
3.375,-11.086,-2607,63
3.38,-11.156,-2594,63
3.385,-11.224,-2582,49
3.39,-11.29,-2569,49
3.395,-11.352,-2556,49
3.4,-11.412,-2543,49
3.405,-11.469,-2530,44
3.41,-11.523,-2517,44
3.415,-11.574,-2503,44
3.42,-11.622,-2490,46
3.425,-11.668,-2477,46
3.43,-11.71,-2463,46
3.435,-11.75,-2449,46
3.44,-11.787,-2435,48
3.445,-11.821,-2421,48
3.45,-11.852,-2407,48
3.455,-11.88,-2393,30
3.46,-11.905,-2379,30
3.465,-11.927,-2365,30
3.47,-11.946,-2350,30
3.475,-11.963,-2336,24
3.48,-11.976,-2321,24
3.485,-11.987,-2307,24
3.49,-11.994,-2292,24
3.495,-11.998,-2278,24
3.5,-12,-2263,24
3.505,-11.999,-2248,24
3.51,-11.994,-2233,24
3.515,-11.987,-2219,24
3.52,-11.976,-2204,24
3.525,-11.963,-2189,24
3.53,-11.947,-2174,24
3.535,-11.928,-2159,24
3.54,-11.906,-2143,24
3.545,-11.881,-2128,15
3.55,-11.853,-2113,15
3.555,-11.822,-2098,15
3.56,-11.788,-2083,15
3.565,-11.751,-2068,19
3.57,-11.712,-2053,19
3.575,-11.669,-2037,19
3.58,-11.624,-2022,24
3.585,-11.575,-2007,24
3.59,-11.524,-1991,24
3.595,-11.47,-1976,24
3.6,-11.414,-1961,15
3.605,-11.354,-1945,15
3.61,-11.291,-1930,15
3.615,-11.226,-1915,15
3.62,-11.158,-1899,15
3.625,-11.088,-1884,15
3.63,-11.014,-1868,15
3.635,-10.938,-1853,15
3.64,-10.859,-1837,15
3.645,-10.778,-1822,15
3.65,-10.693,-1807,15
3.655,-10.606,-1791,15
3.66,-10.517,-1776,15
3.665,-10.425,-1760,15
3.67,-10.33,-1745,15
3.675,-10.233,-1729,15
3.68,-10.133,-1714,15
3.685,-10.031,-1698,15
3.69,-9.9265,-1683,15
